csv_name,json_name
scanner_manufacturer_pd,Manufacturer
scanner_type_pd,ManufacturersModelName
scanner_software_versions_pd,SoftwareVersions
magnetic_field_strength,MagneticFieldStrength
mri_repetition_time_pd,RepetitionTime
mri_echo_time_pd,EchoTime
flip_angle,FlipAngle
acquisition_matrix,AcquisitionMatrixPE
patient_position,PatientPosition
receive_coil,ReceiveCoilName
image_slice_thickness,SliceThickness
image_orientation,ImageOrientationPatientDICOM
pulse_seq,ProtocolName
software_preproc,ConversionSoftware
slice_timing,SliceTiming
deviceserialnumber,DeviceSerialNumber
image_num_dimensions,MRAcquisitionType
